,Town,Super Petrol,Diesel,Kerosene,Price Period
163,Orolwo,195.9152044024907,181.27983571194915,171.1438112371291,July-2023
164,Sebit,195.86730385233287,181.23193516179128,171.08591068697126,July-2023
165,Morpus,195.76347788955667,181.12810919901509,170.9820847241951,July-2023
166,Chepkorniswo,195.63570165170154,181.01033296116,170.86430848633995,July-2023
167,Kaibichbich,195.58780110154373,180.9524324110022,170.80640793618215,July-2023
168,Keringet,195.29632321321515,180.6609545226736,170.51493004785357,July-2023
169,Kisumu,194.52268138728232,179.88735269674072,169.7412882219207,July-2023
170,Sondu,194.6373767213528,180.00204803081118,169.8559835559912,July-2023
171,Oyugis,195.15404935157454,180.51872066103292,170.3726561862129,July-2023
172,Kakamega,194.57827865744105,179.94294996689945,169.7968854920794,July-2023
173,Mumias,194.87334908703147,180.2380203964899,170.09195592166986,July-2023
174,Bondo,194.74796787668424,180.11263918614267,169.96657471132264,July-2023
175,Siaya,194.88053416955512,180.24520547901352,170.0991410041935,July-2023
176,Kericho,195.07339604009175,180.43806734955012,170.29200287473014,July-2023
177,Nyamira,195.14087670028113,180.50554800973956,170.35948353491952,July-2023
178,Kisii,195.4682800012281,180.8329513106865,170.68688683586646,July-2023
179,Sotik,195.29020818570726,180.6548794951657,170.50881502034565,July-2023
180,Keroka,195.48025513876755,180.84492644822592,170.70886197340593,July-2023
181,Busia,195.45630486368864,180.82097617314702,170.674911698327,July-2023
182,Homabay,195.3984043135308,180.76307562298922,170.61701114816918,July-2023
183,Migori,196.31876339113495,181.68343470059335,171.53737022577332,July-2023
184,Isebania,196.622216417003,181.9868877264614,171.84082325164135,July-2023
185,Bomet,195.7238324769383,181.08850378639667,170.94243931157666,July-2023
186,Muhoroni,194.76473306923947,180.1394043786979,169.99333990387785,July-2023
187,Mbita,195.38642917599134,180.75110048544974,170.60503601062973,July-2023
188,Mbale,194.52268138728232,179.88735269674072,169.7412882219207,July-2023
189,Etago,196.0851860529642,181.4498573624226,171.30379288760255,July-2023
190,Magenche,196.19098715327982,181.5556584627382,171.40959398791819,July-2023
191,Kilgoris,196.01531036526688,181.37998167472531,171.23391719990528,July-2023
192,Malava,194.90927449964983,180.28394580910822,170.1378813342882,July-2023
193,Lugari,195.3285286258335,180.69319993529194,170.5471354604719,July-2023
194,Rodi Kopany,195.4682800012281,180.8329513106865,170.68688683586646,July-2023
195,Ndhiwa,195.75975788955668,181.12442919901505,170.97836472419505,July-2023
196,Rangwe,195.45630486368864,180.82097617314702,170.674911698327,July-2023
197,Sindo,195.4682800012281,180.8329513106865,170.68688683586646,July-2023
198,Awasi,194.48804523592668,179.85271654538508,169.70665207056507,July-2023
199,Ahero,194.52268138728232,179.88735269674072,169.7412882219207,July-2023
200,Ugunja,194.9791501873471,180.3538214968055,170.2077570219855,July-2023
201,Asembo,194.6058214737818,179.97049278324016,169.82442830842018,July-2023
202,Usenge,195.11890156274168,180.48357287220006,170.34750839738007,July-2023
203,Harambee,194.56989606116343,179.93456737062183,169.7885028958018,July-2023
204,Muhuru Bay,196.47048990406896,181.83516121352733,171.68909673870735,July-2023
205,Kehancha,196.71604237977917,182.0907136892376,171.94464921441755,July-2023
206,Ntimaru,197.05344568072616,182.41811699018453,172.27205251536452,July-2023
207,Rongo,195.73580761447778,181.10047892393615,170.95441444911614,July-2023
208,Kaspokwony,195.6898822018594,181.05455351131778,170.90848903649777,July-2023
209,Chwele,195.63198165170155,181.00665296115997,170.86058848633994,July-2023
210,Kimilili,195.55013082646482,180.9148021359232,170.76873766110322,July-2023
211,Nambale,195.45630486368864,180.82097617314702,170.674911698327,July-2023
212,SioPort,195.4443297261492,180.8090010356076,170.66293656078756,July-2023
213,Port Bunyala,195.50223027630702,180.8669015857654,170.7208371109454,July-2023
214,Funyula,195.3045783507546,180.66924966021304,170.523185185393,July-2023
215,Ogembo,195.63198165170155,181.00665296115997,170.86058848633994,July-2023
216,Nyangusu,195.91148440249071,181.27615571194912,171.13009123712908,July-2023
217,Sengera,195.82963357725396,181.19430488671236,171.04824041189235,July-2023
218,Keumbu,195.53815568892537,180.90282699838377,170.75676252356376,July-2023
219,Marani,195.22272752551788,180.58739883497626,170.44133436015625,July-2023
220,Kerina,195.60803137662265,180.97270268608108,170.82663821126104,July-2023
221,Ikonge,194.90927449964983,180.28394580910822,170.1378813342882,July-2023
222,Nyansiongo,195.340503763373,180.7151750728314,170.56911059801138,July-2023
